review_text,rating,true_label
"This product changed my life!!! Best purchase EVER, 10/10 would recommend to everyone!!!",5,Fake
"Bought this for my kitchen renovation. Took about 2 weeks to arrive but works exactly as described. The handle felt a bit loose out of the box so I tightened the screw underneath.",4,Genuine
"Amazing amazing amazing!!! Perfect in every single way, no flaws at all, everyone needs this!!!",5,Fake
"Used this daily for about 3 months now. Battery life dropped noticeably after week 6, still usable but not what I expected for the price.",3,Genuine
"Absolutely incredible product changed my entire life best decision I've ever made 100 stars if I could",5,Fake
"Package arrived damaged, called support and they replaced it within a week. The replacement works fine so far.",3,Genuine
"WORST PRODUCT EVER DO NOT BUY SCAM SCAM SCAM!!!",1,Fake
"Decent for the price. Not premium quality but does the job for occasional use. Wouldn't recommend for daily heavy use.",3,Genuine
"Five stars, perfect, will buy again, great seller, fast shipping, highly recommend to all my friends and family",5,Fake
"I was skeptical at first but after using it for a road trip last month, it held up well. Minor scuff on the corner from being tossed in the trunk.",4,Genuine
